date,fed_unemployment,fed_rate,trump_min,trump_unemployment,trump_max,trump_location,trump_quote
2012-01-01,8.3,,,,,,
2012-02-01,8.3,,,,,,
2012-03-01,8.2,,,,,,
2012-04-01,8.2,,,,,,
2012-05-01,8.2,,,,,,
2012-06-01,8.2,,,,,,
2012-07-01,8.2,,,,,,
2012-08-01,8.1,,,,,,
2012-09-01,7.8,,,,,,
2012-10-01,7.8,,,,,,
2012-10-19,,7.8,15,,,Twitter,"""7.8% unemployment number is a complete fraud as evidenced by the jobless claims number released yesterday. Real unemployment is at least 15%"""
2012-11-01,7.7,,,,,,
2012-12-01,7.9,,,,,,
2013-01-01,8,,,,,,
2013-02-01,7.7,,,,,,
2013-03-01,7.5,,,,,,
2013-04-01,7.6,,,,,,
2013-05-01,7.5,,,,,,
2013-06-01,7.5,,,,,,
2013-07-01,7.3,,,,,,
2013-08-01,7.3,,,,,,
2013-09-01,7.2,,,,,,
2013-10-01,7.2,,,,,,
2013-11-01,6.9,,,,,,
2013-12-01,6.7,,,,,,
2014-01-01,6.6,,,,,,
2014-02-01,6.7,,,,,,
2014-03-01,6.7,,,,,,
2014-04-01,6.2,,,,,,
2014-05-01,6.3,,,,,,
2014-06-01,6.1,,,,,,
2014-07-01,6.2,,,,,,
2014-08-01,6.2,,,,,,
2014-09-01,5.9,,,,,,
2014-10-01,5.7,,,,,,
2014-11-01,5.8,,,,,,
2014-12-01,5.6,,,,,,
2015-01-01,5.7,,,,,,
2015-02-01,5.5,,,,,,
2015-03-01,5.4,,,,,,
2015-04-01,5.4,,,,,,
2015-05-01,5.5,,,,,,
2015-06-01,5.3,,,,,,
2015-06-16,,5.3,15,19,22,Trump Tower,"""Our real unemployment is anywhere from 18 to 20 percent. Don't believe the 5.6. Don't believe it."""
2015-07-01,5.2,,,,,,
2015-07-08,,5.2,15,16,,Family Leadership Summit,"""It is not real. when you look at unemployment and it is 7.4%, 7.4%, it is probably anywhere from 15%-17%"""
2015-08-01,5.1,,,,,,
2015-08-11,,5.1,,40,42,Hannity,"""Then you hear there's a 5.4% unemployment. It's really - if you add it up, it's probably 40 percent if you think about it."""
2015-08-18,,5.1,,21,42,Time Magazine,"""Don't forget in the meantime we have a real unemployment rate that's probably 21%. It's not 6. I's not 5.2 and 5.5. Our real unemployment rate-in fact, I saw a chart the other day, our real unemployment-because you have ninety million people that aren't working. Ninety-three million to be exact. If you start adding it up, our real unemployment rate is 42%"""
2015-08-30,,5.1,,,42,Speech on CSPAN?,"""They show those phony statistics where we are 5.4% unemployment. The real number, I saw a number that could be 42 percent, believe it or not."""
2015-09-01,5,,,,,,
2015-09-28,,5,,35,42,Press Conference (Where?),"""28, 29, as high as 35 [percent]. In fact, I even heard recently 42%"""
2015-09-28,,5,17,20,,CSPAN??,"""The unemployment rate is probably 20%"""
2015-09-29,,5,,24,42,,"""The number is not reflective. I have seen numbers of 24%. I saw a number of 42% unemployment. That number is so false."""
2015-10-01,5,,,,,,
2015-10-09,,5,,32,42,CSPAN??,"""They say 5.3 percent employment. The number is probably 32%."""
2015-11-01,5,,,,,,
2015-12-01,5,,,,,,
2016-01-01,4.9,,,,,,
2016-01-20,,4.9,18,22,26,Liberty University,"""They have this phony number, 5.2%. Everybody that quits looking for a job is considered statistically a person that has a job. It's a phony number. You probably - real numbers like 22, 23%"""
2016-02-01,4.9,,,,,,
2016-03-01,5,,,,,,
2016-04-01,5,,,,,,
2016-05-01,4.7,,,,,,
2016-05-27,,4.7,17,20,23,San Diego,"""The real [unemployment] number is 20%. The actual unemployment rate, that is, the rate that includes Americans who have given up hope of finding employment, is 23%."""
2016-06-01,4.9,,,,,,
2016-07-01,4.9,,,,,,
2016-08-01,4.9,,,,,,
2016-09-01,4.9,,,,,,
2016-10-01,4.8,,,,,,
2016-11-01,4.6,,,,,,
2016-12-01,4.7,,,,,,
2017-01-01,4.8,,,,,,
2017-02-01,4.7,,,,,,
2017-03-01,4.7,,,,,,
2017-03-01,,4.7,4.7,4.7,4.7,"Sean Spicer, White House Press briefing","""'They may have been phony in the past, but it's very real now,' Spicer said Friday from the White House podium, hours after the government announced 235,000 new jobs in February and a dip in the unemployment rate to 4.7% from 4.8%."""
